Key;Study Number;Title;Item Type;Publication Year;Author;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Search Query;;;;;;;;;;;;;
FFTJE5D4;S11;Information System Architecture Evaluation: From Software to Enterprise Level Approaches;conferencePaper;2005;"Vasconcelos, André; Sousa, Pedro; Tribolet, José";Proceedings, 12th European Conference On Information Technology Evaluation (ECITE 2005), Turku, Finland;;;;https://www.researchgate.net/profile/Jose-Tribolet/publication/228967139_Information_System_Architecture_Evaluation_From_Software_to_Enterprise_Level_Approaches/links/0fcfd509063247a186000000/Information-System-Architecture-Evaluation-From-Software-to-Enterprise-Level-Approaches.pdf;In order to ensure that technology supports business needs and that IT investments deliver the desired value, it is fundamental to define an Information System Architecture (ISA) and measure its accurateness to the business model and existing technologies. Thus, in this paper we are concern on evaluating ISA by measuring its qualities (relevant at enterprise level). Since software architecture (SA) is part of the information system architecture and the evaluation topic is a quite mature issue on the software engineering domain, we enumerate and classify several software evaluation approaches in order to consider its applicability to ISA evaluation. Therefore, in this paper, we present and classify the most significant software evaluation issues, namely: software qualities, software evaluation approaches, and software metrics. Our preliminary findings indicate that: the quality attributes relevant for SA evaluation are generally applicable for ISA evaluation, the SA evaluation approaches are also useful for ISA evaluation, and the SA metrics are not applicable to ISA evaluation. In this paper we propose a set of metrics for ISA evaluation, considering the most experienced and tested software engineering metrics. We apply the ISA evaluation approach, qualities and metrics to a health-care project case study.;SQ1;;;;;;;;;;;;;
EP9YRZSI;S12;Software Architecture Analysis of Usability;conferencePaper;2004;"Folmer, Eelke; van Gurp, Jilles; Bosch, Jan";;;;10.1007/11431879_3;doi.org/10.1007/11431879_3;;SQ1;;;;;;;;;;;;;
APSXRQLH;S13;Static evaluation of software architectures;conferencePaper;2006;"Knodel, Jens; Lindvall, Mikael; Muthig, Dirk; Naab, Matthias";;0-7695-2536-9;;10.1109/CSMR.2006.53;https://ieeexplore.ieee.org/document/1602379;The software architecture is one of the most crucial artifacts within the lifecycle of a software system. Decisions made at the architectural level directly enable, facilitate, hamper, or interfere with the achievement of business goals, functional and quality requirements. Architecture evaluations play an important role in the development and evolution of software systems since they determine how adequate the architecture is for its intended usage. This paper summarizes our practical experience with using architecture evaluations and gives an overview on when and how static architecture evaluations contribute to architecture development. We identify ten distinct purposes and needs for static architecture evaluations and illustrate them using a set of industrial and academic case studies. In particular, we show how subsequent steps in architecture development are influenced by the results from architecture evaluations;SQ1;;;;;;;;;;;;;
HFM296PE;S14;Applying dynamic change impact analysis in component-based architecture design;conferencePaper;2006;"Feng, Tie; Maletic, Jonathan I";;0-7695-2611-X;;10.1109/SNPD-SAWN.2006.21;https://ieeexplore.ieee.org/abstract/document/1640665;Change impact analysis plays an important role in maintenance and evolution of component-based software architecture. Viewing component replacement as a change to composition-based software architecture, this paper proposes a component interaction trace based approach to support dynamic change impact analysis at software architecture level. Given an architectural change, our approach determines the architecture elements causing the change and impacted by the change. Firstly, component-based software architecture and component interaction trace are defined. An algorithm for generating component interaction trace from static structure model of software architecture and UML sequence diagram is provided. Secondly, the taxonomy of changes on composition-based software architecture is presented, according to which a set of impact rules are suggested to determine the transfer of the changes in component and among components. Thirdly, by performing slicing on component interaction traces according to impact rules, the impact analysis results are obtained. Finally, the architecture design of SOCIAT, a tool supporting our approach, is developed and explained.;SQ1;;;;;;;;;;;;;
CYVAT8GX;S15;The essential components of software architecture design and analysis;journalArticle;2006;"Kazman, Rick; Bass, Len; Klein, Mark";Journal of Systems and Software;;0164-1212;10.1016/j.jss.2006.05.001;https://www.sciencedirect.com/science/article/pii/S0164121206001439;Architecture analysis and design methods such as ATAM, QAW, ADD and CBAM have enjoyed modest success and are being adopted by many companies as part of their standard software development processes. They are used in the lifecycle, as a means of understanding business goals and stakeholders concerns, mapping these onto an architectural representation, and assessing the risks associated with this mapping. These methods have evolved a set of shared component techniques. In this paper we show how these techniques can be combined in countless ways to create needs-specific methods in an agile way. We demonstrate the generality of these techniques by describing a new architecture improvement method called APTIA (Analytic Principles and Tools for the Improvement of Architectures). APTIA almost entirely reuses pre-existing techniques but in a new combination, with new goals and results. We exemplify APTIA’s use in improving the architecture of a commercial information system.;SQ1;;;;;;;;;;;;;
M52P29SR;S16;Tool support to model-based quality analysis of software architecture;conferencePaper;2006;"Zhang, Qian; Wu, Jian; Zhu, Hong";30th Annual International Computer Software and Applications Conference (COMPSAC'06);;;10.1109/COMPSAC.2006.82;https://ieeexplore.ieee.org/document/4020069?denied=;;SQ1;;;;;;;;;;;;;
5GTN88W8;S17;MEMS: A Method for Evaluating Middleware Architectures;conferencePaper;2006;"Liu, Yan; Gorton, Ian; Bass, Len; Hoang, Cuong; Abanmi, Suhail";Quality of Software Architectures;978-3-540-48820-0;;10.1007/11921998_6;;Middleware architectures play a crucial role in determining the overall quality of many distributed applications. Systematic evaluation methods for middleware architectures are therefore important to thoroughly assess the impact of design decisions on quality goals. This paper presents MEMS, a scenario-based evaluation approach. MEMS provides a principled way of evaluating middleware architectures by leveraging generic qualitative and quantitative evaluation techniques such as prototyping, testing, rating, and analysis. It measures middleware architectures by rating multiple quality attributes, and the outputs aid the determination of the suitability of alternative middleware architectures to meet an application’s quality goals. MEMS also benefits middleware development by uncovering potential problems at early stage, making it cheaper and quicker to fix design problems. The paper describes a case study to evaluate the security architecture of grid middleware architectures for managing secure conversations and access control. The results demonstrate the practical utility of MEMS for evaluating middleware architectures for multiple quality attributes.;SQ1;;;;;;;;;;;;;
GGREHCWT;S18;On the Modularity of Software Architectures: A Concern-Driven Measurement Framework;conferencePaper;2007;"Sant’Anna, Cláudio; Figueiredo, Eduardo; Garcia, Alessandro; Lucena, Carlos J. P.";Software Architecture;978-3-540-75132-8;;10.1007/978-3-540-75132-8_17;;Much of the complexity of software architecture design is derived from the inadequate modularization of key broadly-scoped concerns, such as exception handling, distribution, and persistence. However, conventional architecture metrics are not sensitive to the driving architectural concerns, thereby leading a number of false positives and false negatives in the design assessment process. Therefore, there is a need for assessment techniques that support a more effective identification of early design modularity anomalies relative to crosscutting concerns. In this context, this paper proposes a concern-driven measurement framework for assessing architecture modularity. It encompasses a mechanism for documenting architectural concerns, and a suite of concern-oriented architecture metrics. We evaluated the usefulness of the proposed framework while comparing the modularity of architecture design alternatives in three different case studies.;SQ1;;;;;;;;;;;;;
QVFCFCN4;S19;Beyond ATAM: Architecture Analysis in the Development of Large Scale Software Systems;conferencePaper;2007;Zalewski, Andrzej;Software Architecture;978-3-540-75132-8;;10.1007/978-3-540-75132-8_8;;"Large scale software developments require substantial investment and are exposed to high level of risk. Architectural decisions taken at early stages of the development can substantially influence the entire level of technical risk. In this paper architectural decisions are divided into two basic groups: early – top level system organization decision establishing system organization patterns (the notion introduced in this paper) and detailed ones. However as it was shown on notable examples of large scale developments carried out in recent ten years in Poland, wrong decisions concerning system organization pattern can trigger severe risks that can lead to the development crisis. These risks are frequently connected with the complexity explosion syndrome – sudden, undetected growth of design complexity that exceeds the capabiblity of the development team and time budget. To manage these risks properly appropriate architecture analysis method has been introduced. On the contrary to the traditional scenario-based architecture analysis methods, like ATAM, it was based on GQM approach. A complete assessement framework have been defined comprising three goals: complexity control, organizational adequacy and satisfactory perforormance and reliability; a set of questions related to these goals, as well as metrics for the qualities expressed by these questions. The conclusion contains ex post analysis of exemplary large scale systems showing that the proposed framework provides adequate assessement of design risk. It has also been indicated that the critical risks identified during the evalution of the system organization pattern should be carefully managed.";SQ1;;;;;;;;;;;;;
MKKEPZTU;S20;A holistic architecture assessment method for software product lines;journalArticle;2007;"Olumofin, Femi G.; Mišić, Vojislav B.";Information and Software Technology;;0950-5849;10.1016/j.infsof.2006.05.003;https://www.sciencedirect.com/science/article/pii/S0950584906000747;The success of architecture-centric development of software product lines is critically dependent upon the availability of suitable architecture assessment methods. While a number of architecture assessment methods are available and some of them have been widely used in the process of evaluating single product architectures, none of them is equipped to deal with the main challenges of product line development. In this paper we present an adaptation of the Architecture Tradeoff Analysis Method (ATAM) for the task of assessing product line architectures. The new method, labeled Holistic Product Line Architecture Assessment (HoPLAA), uses a holistic approach that focuses on risks and quality attribute tradeoffs – not only for the common product line architecture, but for the individual product architectures as well. In addition, it prescribes a qualitative analytical treatment of variation points using scenarios. The use of the new method is illustrated through a case study.;SQ1;;;;;;;;;;;;;
5IH2BRR8;S21;Extending Failure Modes and Effects Analysis Approach for Reliability Analysis at the Software Architecture Design Level;bookSection;2007;"Sozer, Hasan; Tekinerdogan, Bedir; Aksit, Mehmet";Architecting Dependable Systems IV;978-3-540-74033-9 978-3-540-74035-3;;;http://link.springer.com/10.1007/978-3-540-74035-3_18;Several reliability engineering approaches have been proposed to identify and recover from failures. A well-known and mature approach is the Failure Mode and Effect Analysis (FMEA) method that is usually utilized together with Fault Tree Analysis (FTA) to analyze and diagnose the causes of failures. Unfortunately, both approaches seem to have primarily focused on failures of hardware components and less on software components. Moreover, for utilizing FMEA and FTA very often an existing implementation of the system is required to perform the reliability analysis. We propose extensions to FMEA and FTA to utilize them for the reliability analysis of software at the architecture design level. We present the software architecture reliability analysis approach (SARAH) that incorporates the extended FMEA and FTA. The approach is illustrated using an industrial case for analyzing reliability of the software architecture of a Digital TV.;SQ1;;;;;;;;;;;;;
7ZX9PAT3;S22;Towards a method for the evaluation of reference architectures: Experiences from a case;conferencePaper;2008;"Angelov, Samuil; Trienekens, Jos JM; Grefen, Paul";;978-3-540-88029-5;;;https://link.springer.com/chapter/10.1007/978-3-540-88030-1_17;Reference architectures provide major guidelines for the structure of a class of information systems. Because of their fundamental role, reference architectures have to be of high quality. Before accepting a reference architecture, it has to go through a rigorous evaluation process. A number of methods exist for the evaluation of software architectures. In this paper, we analyze the main differences between concrete software architectures and reference architectures. We discuss the effects of these differences on the evaluation of reference architectures and show that existing methods cannot be directly applied for the evaluation of reference architectures. For the evaluation of a reference architecture for e-contracting systems, we used the Architecture Tradeoff Analysis Method with a number of adaptations and extensions. We present our approach and share our experiences from this evaluation process. Based on the analysis and our experiences gained, we present our vision for a method for the evaluation of reference architectures.;SQ1;;;;;;;;;;;;;
ZX7SSBDM;S23;Using dependency model to support software architecture evolution;conferencePaper;2008;"Breivold, Hongyu Pei; Crnkovic, Ivica; Land, Rikard; Larsson, Stig";;1-4244-2776-2;;10.1109/ASEW.2008.4686324;https://ieeexplore.ieee.org/document/4686324;Evolution of software systems is characterized by inevitable changes of software and increasing software complexity, which in turn may lead to huge maintenance and development costs. For long-lived systems, there is a need to address and maintain evolvability (i.e. a systempsilas ability to easily accommodate changes) during the entire lifecycle. As designing software for ease of extension and contraction depends on how well the software structure is organized, this paper explores the relationships between evolvability, modularity and inter-module dependency. Through a case study of an industrial power control and protection system, we describe our work in managing its software architecture evolution, guided by the dependency analysis at the architectural level. The paper includes also the main analysis results, our experiences and reflections during the dependency analysis process in the case study.;SQ1;;;;;;;;;;;;;
JARG45JQ;S24;Extending ATAM to assess product line architecture;conferencePaper;2008;"Kim, Taeho; Ko, In-young; Kang, Sung-won; Lee, Dan-hyung";;1-4244-2357-0;;10.1109/CIT.2008.4594775;https://ieeexplore.ieee.org/document/4594775;Software architecture is a core asset for any organization that develops software-intensive systems. Unsuitable architecture can precipitate disaster because the architecture determines the structure of the project. To prevent this, software architecture must be evaluated. The current evaluation methods, however, focus on single product architecture, and not product line architectures and they hardly consider the characteristics of the product lines, such as the variation points. This paper describes the extension of a scenario-based analysis technique for software product architecture-called EATAM, which not only analyzes the variation points of the quality attribute using feature modeling but also creates variability scenarios for the derivation of the variation points using the extended PLUC tag approach. This is a method that aims to consider the tradeoffs in the variability scenarios of the software product family architecture. The method has been validated through a case study involving microwave oven software product line in the appliance domain.;SQ1;;;;;;;;;;;;;
6Q9RV3P7;S25;Comprehensive Architecture Evaluation and Management in Large Software-Systems;conferencePaper;2008;"Salger, Frank; Bennicke, Marcel; Engels, Gregor; Lewerentz, Claus";Quality of Software Architectures. Models and Architectures;978-3-540-87879-7;;10.1007/978-3-540-87879-7_13;;The architecture of a software system is both a success and a failure factor. Taking the wrong architectural decisions may break a project, since such errors are often systematic and affect cross-cutting aspects of the system to be built. Moreover, software projects get more and more challenging due to the rising complexity and dynamics of business processes, large team size and distributed development. As the software architecture is the common platform for many project activities, it constitutes a critical success factor. Thus, a comprehensive method for evaluating a software architecture and propagating important properties of it downstream to code is needed. At sd&m, we designed a comprehensive architecture evaluation and management framework in order to satisfy these needs. In this paper, we derive a list of requirements, such a framework should fulfill. We then present the components of our architecture evaluation method and demonstrate, how it fulfills these requirements.;SQ1;;;;;;;;;;;;;
N7WL7J7Z;S26;Some Metrics for Accessing Quality of Product Line Architecture;conferencePaper;2008;"Zhang, Tao; Deng, Lei; Wu, Jian; Zhou, Qiaoming; Ma, Chunyan";2008 International Conference on Computer Science and Software Engineering;;;10.1109/CSSE.2008.500;;Product line architecture is the most important core asset of software product line. vADL, a product line architecture description languages, can be used for specifying product line architecture, and also provide enough information for measuring quality of product line architecture. In this paper, some new metrics are provided to assess similarity, variability, reusability, and complexity of product line architecture. The main feature of our approach is to assess the quality of product line architecture by analyzing its formal vADL specification, and therefore the process of metric computation can be automated completely.;SQ1;;;;;;;;;;;;;
9H2PUU6D;S27;Experiences with Software Architecture Analysis of Usability;journalArticle;2008;"Folmer, Eelke; Bosch, Jan";International Journal of Information Technology and Web Engineering (IJITWE);;1554-1045;10.4018/jitwe.2008100101;https://www.igi-global.com/article/experiences-software-architecture-analysis-usability/www.igi-global.com/article/experiences-software-architecture-analysis-usability/2648;Software engineers and human computer interaction engineers have come to the understanding that usability is not something that can be “added” to a software product during late stage, since to a certain extent it is determined and restricted by architecture design. Cost effectively developing a usab...;SQ1;;;;;;;;;;;;;
QEGUSDH4;S28;Analyzing Software Evolvability of an Industrial Automation Control System: A Case Study;conferencePaper;2008;"Breivold, Hongyu Pei; Crnkovic, Ivica; Land, Rikard; Larsson, Magnus";2008 The Third International Conference on Software Engineering Advances;;;10.1109/ICSEA.2008.16;;"Evolution of software systems is characterized by inevitable changes of software and increasing software complexity, which in turn may lead to huge maintenance and development costs. For long-lived systems, there is a need to address evolvability (i.e. a systempsilas ability to easily accommodate changes) explicitly in the requirements and early design phases, and maintain it during the entire lifecycle. This paper describes our work in analyzing and improving the evolvability of an industrial automation control system, and presents (1) evolvability subcharacteristics based on the problems in the case and available literature; (2) a structured method for analyzing evolvability at the architectural level - the ARchitecture Evolvability Analysis (AREA) method. This paper includes also the main analysis results and our observations during the evolvability analysis process in the case study. The evolvability subcharacteristics and the method should be generally applicable, and they are being validated within another domain at the time of writing.";SQ1;;;;;;;;;;;;;
8NZ6FR8S;S29;Adaptability Evaluation at Software Architecture Level;journalArticle;2008;Tarvainen, Pentti;The Open Software Engineering Journal;;1874107X;10.2174/1874107X00802010001;http://benthamopen.com/ABSTRACT/TOSEJ-2-1;Quality of software is one of the major issues in software intensive systems and it is important to analyze it as early as possible. An increasingly important quality attribute of complex software systems is adaptability. Software architecture for adaptive software systems should be flexible enough to allow components to change their behaviors depending upon the environmental and stakeholders' changes and goals of the system. Evaluating adaptability at software architecture level to identify the weaknesses of the architecture and further to improve adaptability of the architecture are very important tasks for software architects today. Our contribution is an Adaptability Evaluation Method (AEM) that defines, before system implementation, how adaptability requirements can be negotiated and mapped to the architecture, how they can be represented in architectural models, and how the architecture can be evaluated and analyzed in order to validate whether or not the requirements are met. AEM fills the gap from requirements engineering to evaluation and provides an approach for adaptability evaluation at the software architecture level. In this paper AEM is described and validated with a real-world wireless environment control system. Furthermore, adaptability aspects, role of quality attributes, and diversity of adaptability definitions at software architecture level are discussed.;SQ1;;;;;;;;;;;;;
8NJTQRLS;S30;Software architecture reliability analysis using failure scenarios;journalArticle;2008;"Tekinerdogan, Bedir; Sozer, Hasan; Aksit, Mehmet";Journal of Systems and Software;;0164-1212;10.1016/j.jss.2007.10.029;https://www.sciencedirect.com/science/article/pii/S0164121207003032;With the increasing size and complexity of software in embedded systems, software has now become a primary threat for the reliability. Several mature conventional reliability engineering techniques exist in literature but traditionally these have primarily addressed failures in hardware components and usually assume the availability of a running system. Software architecture analysis methods aim to analyze the quality of software-intensive system early at the software architecture design level and before a system is implemented. We propose a Software Architecture Reliability Analysis Approach (SARAH) that benefits from mature reliability engineering techniques and scenario-based software architecture analysis to provide an early software reliability analysis at the architecture design level. SARAH defines the notion of failure scenario model that is based on the Failure Modes and Effects Analysis method (FMEA) in the reliability engineering domain. The failure scenario model is applied to represent so-called failure scenarios that are utilized to derive fault tree sets (FTS). Fault tree sets are utilized to provide a severity analysis for the overall software architecture and the individual architectural elements. Despite conventional reliability analysis techniques which prioritize failures based on criteria such as safety concerns, in SARAH failure scenarios are prioritized based on severity from the end-user perspective. SARAH results in a failure analysis report that can be utilized to identify architectural tactics for improving the reliability of the software architecture. The approach is illustrated using an industrial case for analyzing reliability of the software architecture of the next release of a Digital TV.;SQ1;;;;;;;;;;;;;
VSY9UTT5;S31;Using software architecture risk assessment for product line architectures;conferencePaper;2009;"Abdelmoez, WM; Jalali, AH; Shaik, K; Menzies, T; Ammar, HH";;;;;;This paper demonstrates the usage of Software Architecture Risk Assessment (SARA) process and a supporting prototype tool to assess maintainability-based risk for product line architectures. The prototype tool accepts different types of inputs that define the software architecture. It parses these input files and produces quantitative metrics that are used to estimate the required risk factors. The final result of this process is to discern the potentially high risk components in the software system. By manipulating the data acquired from domain expert and measures obtained from Unified Modeling Language (UML) artifacts, SARA can be used at the architecture development phase, at the design phase, or at the implementation phase of the software development process to improve the quality of the software product line.;SQ1;;;;;;;;;;;;;
KWS9DHY2;S32;Towards a Method for Analyzing Architectural Support Levels of Usability;conferencePaper;2009;"Biel, Bettina; Gruhn, Volker";;1-4244-4984-7;;;https://ieeexplore.ieee.org/document/5290818;The user acceptance of a software product especially depends on its usability. Therefore, it is a matter that needs to be addressed early in the software development process. In existing scenario-based software architecture analysis methods that focus on usability, the usage context is not employed to select scenarios used for analysis, although it is known that understanding a specific usage context is important to carefully design for usability. In order to address this, we propose in this position paper the ldquomethod for analyzing architectural support levels of usabilityrdquo, which incorporates a usage context analysis and a simple standards inspection of a user interface prototype. It furthermore provides a knowledge base of standardized analysis scenarios and analysis templates that are derived from general usability requirements and design patterns. By defining architectural support levels (ASL), which are defined based on analysis scenario gradings, the proposed procedure model shall guide evaluators to accomplish a repeatable analysis resulting in a rating of the current design for usability in a traceable way.;SQ1;;;;;;;;;;;;;
YB8DNYPB;S33;A Framework for Supporting the Software Architecture Evaluation Process in Global Software Development;conferencePaper;2009;Babar, Muhammad Ali;2009 Fourth IEEE International Conference on Global Software Engineering;;;10.1109/ICGSE.2009.17;;Software Architecture (SA) evaluation process requires a large number of stakeholders to be collocated for evaluation sessions. Given the increasing trend of using globally distributed software development teams, organizations are likely to be discouraged from introducing disciplined architectural evaluation practices that require stakeholders to be collocated. To address this issue, we propose that SA evaluation can be carried out using suitable groupware systems. In this paper, we present a framework for supporting the SA evaluation process using groupware systems. The framework highlights the changes required in the existing SA evaluation processes. We provide an illustrated example of modeling and mapping the activities of the proposed process on electronic workspaces provided by a groupware system. We have also identified some of the features a groupware system should have to successfully support the process.;SQ1;;;;;;;;;;;;;
