Title;Authors;Publication;Volume;Number;Pages;Year;Publisher;Search Query;Duplicate removal;I1 (SA Method);I2 (software only);I3 (english);I4 (available);I5 (peer reviewed);E1 (Removal of secondary study);E2 (Unavailable);Included for data extraction;;;;
The past, present, and future for software architecture;"Kruchten, Philippe; Obbink, Henk; Stafford, Judith;";IEEE software;23;2;22-30;2006;IEEE;SQ1;;;;x;x;x;;;;;;;
Quality-oriented software architecture;"Reza, Hassan; Grant, Emanuel;";International Conference on Information Technology: Coding and Computing (ITCC'05)-Volume II;1;;140-145;2005;IEEE;SQ1;;;;x;x;x;;;;;;;
Empirical research in software architecture: opportunities, challenges, and approaches;"Babar, Muhammad Ali; Lago, Patricia; Van Deursen, Arie;";Empirical Software Engineering;16;5;539-543;2011;Springer;SQ1;;;;x;x;x;;;;;;;
Software Architecture Metrics: a literature review;"Coulin, Théo; Detante, Maxence; Mouchère, William; Petrillo, Fabio;";arXiv preprint arXiv:1901.09050;;;;2019;;SQ1;;;;x;x;x;x;;;;;;
Software architecture measurement—Experiences from a multinational company;"Wu, Wensheng; Cai, Yuanfang; Kazman, Rick; Mo, Ran; Liu, Zhipeng; Chen, Rongbiao; Ge, Yingan; Liu, Weicai; Zhang, Junhui;";European conference on software architecture;;;303-319;2018;Springer;SQ1;;;;x;x;x;;;;;;;
Security-based risk assessment for software architecture;"Said, Fadi Haj;";;;;;2011;West Virginia University;SQ1;;;;x;x;;;;;;;;
Evaluating software architecture based on their implemented patterns and tactics;"Bani Milhem, Hind Ahmad Ismail;";;;;;2020;Université d'Ottawa/University of Ottawa;SQ1;;;;x;x;;;;;;;;
Developing method for assessing functional complexity of software information system;"Solodovnikov, Andrey;";EUREKA: Physics and Engineering;;5;3-9;2016;;SQ1;;;;x;x;x;;;;;;;
Software architecture for product families: principles and practice;"Jazayeri, Mehdi; Ran, Alexander; Van Der Linden, Frank; Van Der Linden, Philip;";;9;;;2000;Addison-Wesley Reading;SQ1;;;;x;x;;;;;;;;
An approach to software architecture analysis for evolution and reusability;"Lung, Chung-Horng; Bot, Sonia; Kalaichelvan, Kalai; Kazman, Rick;";Proceedings of the 1997 conference of the Centre for Advanced Studies on Collaborative research;;;15;1997;;SQ1;;;;x;x;x;;;;;;;
Extending the atam architecture evaluation to product line architectures;"Olumofin, Femi G; Misic, Vojislav B;";5th Working IEEE/IFIP Conference on Software Architecture (WICSA'05);;;45-56;2005;IEEE;SQ1;;;;x;x;;;;;;;;
A holistic architecture assessment method for software product lines;"Olumofin, Femi G; Mišić, Vojislav B;";Information and Software Technology;49;4;309-323;2007;Elsevier;SQ1;;x;x;x;x;x;;;x;;;;
Enhanced quantitative trade-off analysis in quality attributes of a software architecture using bayesian network model;"Ram, N Sankar; Rodrigues, Paul;";International Journal of Digital Content Technology and its Applications;3;4;;2009;Citeseer;SQ1;;;;x;x;x;;;;;;;
Generalizing a model of software architecture design from five industrial approaches;"Hofmeister, Christine; Kruchten, Philippe; Nord, Robert L; Obbink, Henk; Ran, Alexander; America, Pierre;";5th Working IEEE/IFIP Conference on Software Architecture (WICSA'05);;;77-88;2005;IEEE;SQ1;;;;x;x;x;;;;;;;
Dealing with uncertainty in early software architecture;"Esfahani, Naeem; Razavi, Kaveh; Malek, Sam;";Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering;;;1-4;2012;;SQ1;;;;x;x;x;;;;;;;
Examination of the software architecture change characterization scheme using three empirical studies;"Williams, Byron J; Carver, Jeffrey C;";Empirical Software Engineering;19;3;419-464;2014;Springer;SQ1;;;;x;x;x;;;;;;;
The value of software architecture recovery for maintenance;"Link, Daniel; Behnamghader, Pooyan; Moazeni, Ramin; Boehm, Barry;";Proceedings of the 12th Innovations on Software Engineering Conference (formerly known as India Software Engineering Conference);;;1-10;2019;;SQ1;;;;x;x;x;;;;;;;
Claims and evidence for architecture-based self-adaptation: A systematic literature review;"Weyns, Danny; Ahmad, Tanvir;";European Conference on Software Architecture;;;249-265;2013;Springer;SQ1;;;;x;x;x;x;;;;;;
Experiences with software architecture analysis of usability;"Folmer, Eelke; Bosch, Jan;";International Journal of Information Technology and Web Engineering (IJITWE);3;4;1-29;2008;IGI Global;SQ1;;x;x;x;x;x;;;x;;;;
Software architecture modelling: bridging two worlds using ergonomics and software properties;"Palanque, Philippe; Paternò, Fabio;";Formal Methods in Human-Computer Interaction;;;49-73;1998;Springer;SQ1;;;;x;x;x;;;;;;;
A survey of software architecture viewpoint models;"May, Nicholas;";Proceedings of the Sixth Australasian Workshop on Software and System Architectures;;;13-24;2005;Citeseer;SQ1;;;;x;x;x;;;;;;;
Comparison of software architecture reverse engineering methods;"Stringfellow, Catherine; Amory, CD; Potnuri, Dileep; Andrews, Anneliese; Georg, M;";Information and Software Technology;48;7;484-497;2006;Elsevier;SQ1;;;;x;x;x;;;;;;;
Visualization of areas of interest in software architecture diagrams;"Byelas, Heorhiy; Telea, Alexandru;";Proceedings of the 2006 ACM symposium on Software visualization;;;105-114;2006;;SQ1;;;;x;x;x;;;;;;;
Software architecture quality measurement stability and understandability;"Alenezi, Mamdouh;";International Journal of Advanced Computer Science and Applications;7;7;;2016;Science and Information (SAI) Organization Limited;SQ1;;;;x;x;x;;;;;;;
SAABNet: Managing qualitative knowledge in software architecture assessment;"Van Gurp, Jilles; Bosch, Jan;";Proceedings Seventh IEEE International Conference and Workshop on the Engineering of Computer-Based Systems (ECBS 2000);;;45-53;2000;IEEE;SQ1;;;;x;x;x;;;;;;;
Systematic selection of software architecture styles;"Galster, Matthias; Eberlein, Armin; Moussavi, Mahmood;";Iet Software;4;5;349-360;2010;IET;SQ1;;;;x;x;x;;;;;;;
A Flexible and Modular Software Architecture for Computer Aided Assessments and Automated Marking.;"Striewe, Michael; Balz, Moritz; Goedicke, Michael;";CSEDU (2);;;54-61;2009;;SQ1;;;;x;x;x;;;;;;;
Hybrid assessment method for software engineering decisions;"Ribeiro, Rita A; Moreira, Ana M; Van den Broek, Pim; Pimentel, Afonso;";Decision Support Systems;51;1;208-219;2011;Elsevier;SQ1;;;;x;x;x;;;;;;;
In practice: UML software architecture and design description;"Lange, Christian FJ; Chaudron, Michel RV; Muskens, Johan;";IEEE software;23;2;40-46;2006;IEEE;SQ1;;;;x;x;x;;;;;;;
Towards a broader view on software architecture analysis of flexibility;"Lassing, Nico; Rijsenbrij, Daan; van Vliet, Hans;";Proceedings Sixth Asia Pacific Software Engineering Conference (ASPEC'99)(Cat. No. PR00509);;;238-245;1999;IEEE;SQ1;;;;x;x;x;;;;;;;
Reflections on applying constructive alignment with formative feedback for teaching introductory programming and software architecture;"Cain, Andrew; Babar, Muhammad Ali;";Proceedings of the 38th International Conference on Software Engineering Companion;;;336-345;2016;;SQ1;;;;x;x;x;;;;;;;
Automated improvement of software architecture models for performance and other quality attributes;"Koziolek, Anne;";;7;;;2014;KIT Scientific Publishing;SQ1;;;;x;x;;;;;;;;
Empirical research for software architecture decision making: An analysis;"Razavian, Maryam; Paech, Barbara; Tang, Antony;";Journal of Systems and Software;149;;360-381;2019;Elsevier;SQ1;;;;x;x;x;;;;;;;
Introducing software architecture specification and analysis in SAM through an example;"Wang, Jiacun; He, Xudong; Deng, Yi;";Information and Software Technology;41;7;451-467;1999;Elsevier;SQ1;;;;x;x;x;;;;;;;
Exploring experiential learning model and risk management process for an undergraduate software architecture course;"Lieh, Ouh Eng; Irawan, Yunghans;";2018 IEEE Frontiers in Education Conference (FIE);;;1-9;2018;IEEE;SQ1;;;;x;x;x;;;;;;;
Producing and delivering a coursera MOOC on pattern-oriented software architecture for concurrent and networked software;"Schmidt, Douglas C; McCormick, Zach;";Proceedings of the 2013 companion publication for conference on Systems, programming, & applications: software for humanity;;;167-176;2013;;SQ1;;;;x;x;x;;;;;;;
Comprehensive architecture evaluation and management in large software-systems;"Salger, Frank; Bennicke, Marcel; Engels, Gregor; Lewerentz, Claus;";International Conference on the Quality of Software Architectures;;;205-219;2008;Springer;SQ1;;x;x;x;x;x;;;x;;;;
A method for understanding quality attributes in software architecture structures;"Svahnberg, Mikael; Wohlin, Claes; Lundberg, Lars; Mattsson, Michael;";Proceedings of the 14th international conference on Software engineering and knowledge engineering;;;819-826;2002;;SQ1;;;;x;x;x;;;;;;;
An architecture, system engineering, and acquisition approach for space system software resiliency;"Phillips, Dewanne M; Mazzuchi, Thomas A; Sarkani, Shahram;";Information and Software Technology;94;;150-164;2018;Elsevier;SQ1;;;;x;x;x;;;;;;;
Knowledge management in software architecture: State of the art;"Farenhorst, Rik; Boer, Remco C de;";Software Architecture Knowledge Management;;;21-38;2009;Springer;SQ1;;;;x;x;;;;;;;;
Performance-oriented software architecture engineering: an experience report;"Lung, Chung-Horng; Jalnapurkar, Anant; El-Rayess, Asham;";Proceedings of the 1st international workshop on Software and performance;;;191-196;1998;;SQ1;;;;x;x;x;;;;;;;
Scaling up software architecture analysis;"Kazman, Rick; Gagliardi, Michael; Wood, William;";Journal of Systems and Software;85;7;1511-1519;2012;Elsevier;SQ1;;;;x;x;x;;;;;;;
A domain-specific software architecture for adaptive intelligent systems;"Hayes-Roth, Barbara; Pfleger, Karl; Lalanda, Philippe; Morignot, Philippe; Balabanovic, Marko;";IEEE Transactions on software engineering;21;4;288-301;1995;IEEE;SQ1;;;;x;x;x;;;;;;;
Integrating software-architecture-centric methods into the Rational Unified Process;"Kazman, Rick; Kruchten, Philippe; Nord, Robert L; Tomayko, James E;";;;;;2004;CARNEGIE-MELLON UNIV PITTSBURGH PA SOFTWARE ENGINEERING INST;SQ1;;;;x;x;x;;;;;;;
Assessing the architectonics of large, software-intensive systems using a knowledge-based approach;"Del Rosso, Christian; Maccari, Alessandro;";2007 Working IEEE/IFIP Conference on Software Architecture (WICSA'07);;;2-2;2007;IEEE;SQ1;;;;x;x;x;;;;;;;
Software architecture: Managing design for achieving warfighter capability;"Naegle, Brad; Petross, Dianna;";;;;;2007;Acquisition Research Program;SQ1;;;;x;x;x;;;;;;;
Software architecture-based regression testing;"Muccini, Henry; Dias, Marcio; Richardson, Debra J;";Journal of Systems and Software;79;10;1379-1396;2006;Elsevier;SQ1;;;;x;x;x;;;;;;;
Architecture design decision maps for software sustainability;"Lago, Patricia;";2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS);;;61-64;2019;IEEE;SQ1;;;;x;x;x;;;;;;;
Assessing code decay by detecting software architecture violations;"Bandi, Ajay;";;;;;2014;Mississippi State University;SQ1;;;;x;x;;;;;;;;
Evaluating the usefulness and ease of use of a groupware tool for the software architecture evaluation process;"Babar, Muhammad Ali; Winkler, Dietmar; Biffl, Stefan;";First International Symposium on Empirical Software Engineering and Measurement (ESEM 2007);;;430-439;2007;IEEE;SQ1;;;;x;x;x;;;;;;;
A systematic mapping study on the combination of software architecture and agile development;"Yang, Chen; Liang, Peng; Avgeriou, Paris;";Journal of Systems and Software;111;;157-184;2016;Elsevier;SQ1;;;;x;x;x;x;;;;;;
Early reliability assessment of UML based software models;"Cortellessa, Vittorio; Singh, Harshinder; Cukic, Bojan;";Proceedings of the 3rd international workshop on Software and performance;;;302-309;2002;;SQ1;;;;x;x;x;;;;;;;
The need for software architecture evaluation in the acquisition of software-intensive sysetms;"Zhu, Liming; Staples, Mark; Nguyen, Thong;";;;;;2014;DEFENCE SCIENCE AND TECHNOLOGY ORGANISATION VICTORIA (AUSTRALIA);SQ1;;;;x;x;x;;;;;;;
PPTAM λ: What, where, and how of cross-domain scalability assessment;"Avritzer, Alberto; Camilli, Matteo; Janes, Andrea; Russo, Barbara; Jahič, Jasmin; van Hoorn, André; Britto, Ricardo; Trubiani, Catia;";2021 IEEE 18th International Conference on Software Architecture Companion (ICSA-C);;;62-69;2021;IEEE;SQ1;;;;x;x;x;;;;;;;
Architecting for usability: a survey;"Folmer, Eelke; Bosch, Jan;";Journal of systems and software;70;1-2;61-78;2004;Elsevier;SQ1;;;;x;x;x;;;;;;;
A real-time-capable hard-and software architecture for joint image and knowledge processing in cognitive automobiles;"Goebl, Matthias; Farber, Georg;";2007 IEEE Intelligent Vehicles Symposium;;;734-740;2007;IEEE;SQ1;;;;x;x;x;;;;;;;
An Incremental Model Projection Applied to Streamline Software Architecture Assessment and Monitoring;"Kadri, Salim; Aouag, Sofiane; Hedjazi, Djalal;";International Journal of Information System Modeling and Design (IJISMD);12;3;27-43;2021;IGI Global;SQ1;;;;x;x;x;;;;;;;
Software architecture reconstruction: A process-oriented taxonomy;"Ducasse, Stéphane; Pollet, Damien;";IEEE Transactions on Software Engineering;35;4;573-591;2009;IEEE;SQ1;;;;x;x;x;;;;;;;
The impact of software architecture reuse on development processes and standards;"Cioch, Frank A; Brabbs, John M; Sieh, Larry;";Journal of Systems and Software;50;3;221-236;2000;Elsevier;SQ1;;;;x;x;x;;;;;;;
A software architecture evaluation model;"Dueñas, Juan C; Oliveira, William L de; Puente, Juan A;";International Workshop on Architectural Reasoning for Embedded Systems;;;148-157;1998;Springer;SQ1;;;;x;x;x;;;;;;;
Using software architecture techniques to support the modular certification of safety-critical systems;"Kelly, Tim;";ACM International Conference Proceeding Series;248;;53-65;2007;;SQ1;;;;x;x;x;;;;;;;
Towards software architecture-based regression testing;"Muccini, Henry; Dias, Marcio S; Richardson, Debra J;";ACM SIGSOFT Software Engineering Notes;30;4;1-7;2005;ACM New York, NY, USA;SQ1;;;;x;x;x;;;;;;;
Software Architecture Risk Assessment (SARA) Tool;"Shaik, K; Abdelmoez, WM; Ammar, HH;";International‎ Journal‎ of‎ Software Engineering;1;2;;2008;;SQ1;;;;x;x;;;;;;;;
Software architectural quality assessment model for security analysis using fuzzy analytical hierarchy process (FAHP) method;"Dayanandan, Udaya; Kalimuthu, Vivekanandan;";3D Research;9;3;1-14;2018;Springer;SQ1;;x;x;x;x;x;;;x;;;;
Software architecture;"Garlan, David;";;;;;2001;Wiley;SQ1;;;;x;x;x;;;;;;;
Security risk analysis of software architecture based on AHP;"Alkussayer, Abdulaziz; Allen, William H;";7th International Conference on Networked Computing;;;60-67;2011;IEEE;SQ1;;x;x;x;x;x;;;x;;;;
An architecture process maturity model of software product line engineering;"Ahmed, Faheem; Capretz, Luiz Fernando;";Innovations in Systems and Software Engineering;7;3;191-207;2011;Springer;SQ1;;;;x;x;x;;;;;;;
Software architecture evaluation in practice: Retrospective on more than 50 architecture evaluations in industry;"Knodel, Jens; Naab, Matthias;";2014 IEEE/IFIP Conference on Software Architecture;;;115-124;2014;IEEE;SQ1;;;;x;x;x;;;;;;;
Sparta: Security & privacy architecture through risk-driven threat assessment;"Sion, Laurens; Van Landuyt, Dimitri; Yskout, Koen; Joosen, Wouter;";2018 IEEE International Conference on Software Architecture Companion (ICSA-C);;;89-92;2018;IEEE;SQ1;;x;x;x;x;x;;;x;;;;
Software architecture for multi-bed FDK-based reconstruction in X-ray CT scanners;"Abella, Mónica; Vaquero, Juan José; Sisniega, Alejandro; Pascau, Javier; Udías, A; García, V; Vidal, Irina; Desco, Manuel;";Computer methods and programs in biomedicine;107;2;218-232;2012;Elsevier;SQ1;;;;x;x;x;;;;;;;
Agile Software Architecture: Aligning Agile Processes and Software Architectures;"Babar, Muhammad Ali; Brown, Alan W; Mistrík, Ivan;";;;;;2013;Newnes;SQ1;;;;x;x;;;;;;;;
Integration of safety analysis and software development methods;"Briones, J Fernandez; de Miguel, M; Silva, JP; Alonso, A;";The First Institution of Engineering and Technology International Conference on System Safety, 2006.;;;275-284;2006;IET;SQ1;;;;x;x;x;;;;;;;
Security Risk Assessment of Software Architecture;"HajSaid, Fadi; Hassouneh, Yousef; Ammar, HH;";Proceedings of the 21st International Conference on Computer Theory and Applications (ICCTA 2011);;;15-17;2011;;SQ1;;x;x;x;x;x;;;x;;;;
A software architecture for reliability analysis of mining equipment;"Nuziale, T; Vagenas, N;";International Journal of Surface Mining, Reclamation and Environment;14;1;19-34;2000;Taylor & Francis;SQ1;;;;x;x;x;;;;;;;
Introduction to the special issue on software architecture;"Garlan, David; Perry, Dewayne E;";IEEE Trans. Software Eng.;21;4;269-274;1995;Citeseer;SQ1;;;;x;x;x;;;;;;;
Playing detective: Reconstructing software architecture from available evidence;"Kazman, Rick; Carriere, S Jeromy;";Automated Software Engineering;6;2;107-138;1999;Springer;SQ1;;;;x;x;x;;;;;;;
A systematic literature review of traceability approaches between software architecture and source code;"Javed, Muhammad Atif; Zdun, Uwe;";Proceedings of the 18th International Conference on Evaluation and Assessment in Software Engineering;;;1-10;2014;;SQ1;;;;x;x;x;x;;;;;;
Software architecture of the algorithmic music system improsculpt;"Semb, Thor Arne Gald; Småge, Audun;";;;;;2006;Institutt for datateknikk og informasjonsvitenskap;SQ1;;;;x;x;x;;;;;;;
Software Architecture Quality Evaluation: Approaches in an Industrial Context;"Mårtensson, Frans;";;;;;2006;Blekinge Institute of Technology;SQ1;;;;x;x;;;;;;;;
Design decisions: The bridge between rationale and architecture;"Ven, Jan Salvador van der; Jansen, Anton GJ; Nijhuis, Jos AG; Bosch, Jan;";Rationale management in software engineering;;;329-348;2006;Springer;SQ1;;;;x;x;x;;;;;;;
A quantitative approach for the assessment of microservice architecture deployment alternatives by automated performance testing;"Avritzer, Alberto; Ferme, Vincenzo; Janes, Andrea; Russo, Barbara; Schulz, Henning; Hoorn, André van;";European Conference on Software Architecture;;;159-174;2018;Springer;SQ1;;;;x;x;x;;;;;;;
Assessing uncertainty in reliability of component-based software systems;"Goseva-Popstojanova, Katerina; Kamavaram, Sunil;";14th International Symposium on Software Reliability Engineering, 2003. ISSRE 2003.;;;307-320;2003;IEEE;SQ1;;;;x;x;x;;;;;;;
Relationships between software architecture and source code in practice: An exploratory survey and interview;"Tian, Fangchao; Liang, Peng; Babar, Muhammad Ali;";Information and Software Technology;141;;106705;2022;Elsevier;SQ1;;;;x;x;x;;;;;;;
Symphony: View-driven software architecture reconstruction;"Van Deursen, Arie; Hofmeister, Christine; Koschke, Rainer; Moonen, Leon; Riva, Claudio;";Proceedings. Fourth Working IEEE/IFIP Conference on Software Architecture (WICSA 2004);;;122-132;2004;IEEE;SQ1;;;;x;x;x;;;;;;;
Software architecture design of cloud platforms in automotive domain: An online survey;"Banijamali, Ahmad; Heisig, Philipp; Kristan, Johannes; Kuvaja, Pasi; Oivo, Markku;";2019 IEEE 12th Conference on Service-Oriented Computing and Applications (SOCA);;;168-175;2019;IEEE;SQ1;;;;x;x;x;;;;;;;
Optimized software product line architecture and feature modeling in improvement of SPL;"Chohan, Atif Zahoor; Bibi, Abida; Motla, Yaser Hafeez;";2017 International Conference on Frontiers of Information Technology (FIT);;;167-172;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
Evaluation framework for software architecture viewpoint languages;"Tekinerdogan, Bedir; Demirli, Elif;";Proceedings of the 9th international ACM Sigsoft conference on Quality of software architectures;;;89-98;2013;;SQ1;;;;x;x;x;;;;;;;
Assessing migration of a 20-year-old system to a micro-service platform using ATAM;"Cruz, Pablo; Astudillo, Hernán; Hilliard, Rich; Collado, Miguel;";2019 IEEE International Conference on Software Architecture Companion (ICSA-C);;;174-181;2019;IEEE;SQ1;;x;x;x;x;x;;;x;;;;
Software architecture for digital game mechanics: A systematic literature review;"Mizutani, Wilson K; Daros, Vinícius K; Kon, Fabio;";Entertainment Computing;38;;100421;2021;Elsevier;SQ1;;;;x;x;x;x;;;;;;
A discipline of software architecture;"Denning, Peter J; Dargan, Pamela A;";interactions;1;1;55-65;1994;ACM New York, NY, USA;SQ1;;;;x;x;x;;;;;;;
Software architecture knowledge management approaches and their support for knowledge management activities: A systematic literature review;"Weinreich, Rainer; Groher, Iris;";Information and Software Technology;80;;265-286;2016;Elsevier;SQ1;;;;x;x;x;x;;;;;;
Software architecture: Past, present, future;"Hasselbring, Wilhelm;";The Essence of Software Engineering;;;169-184;2018;Springer, Cham;SQ1;;;;x;x;x;;;;;;;
Assessing the complexity of software architecture;"AlSharif, Mohsen; Bond, Walter P; Al-Otaiby, Turky;";Proceedings of the 42nd annual Southeast regional conference;;;98-103;2004;;SQ1;;;;x;x;;;;;;;;
Self-Confidence of Undergraduate Students in Designing Software Architecture;"Ben, Lotfi; Muhsinah, Ameerah;";2022 ASEE Annual Conference & Exposition;;;;2022;;SQ1;;;;x;x;x;;;;;;;
Cosimulation of intelligent power systems: Fundamentals, software architecture, numerics, and coupling;"Palensky, Peter; Van Der Meer, Arjen A; Lopez, Claudio David; Joseph, Arun; Pan, Kaikai;";IEEE Industrial Electronics Magazine;11;1;34-50;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
Experiences with ALMA: architecture-level modifiability analysis;"Lassing, Nico; Bengtsson, PerOlof; Van Vliet, Hans; Bosch, Jan;";Journal of systems and software;61;1;47-57;2002;Elsevier;SQ1;;;;x;x;x;;;;;;;
From software architecture to analysis models and back: Model-driven refactoring aimed at availability improvement;"Cortellessa, Vittorio; Eramo, Romina; Tucci, Michele;";Information and Software Technology;127;;106362;2020;Elsevier;SQ1;;;;x;x;x;;;;;;;
Evaluation and improvement of software architecture: Identification of design problems in object-oriented systems and resolution through refactorings;"Tsantalis, Nikolaos;";PhD, Dept Applied Informatics, Univ. Macedonia, Thessaloniki, Greece;;;;2010;;SQ1;;;;x;x;;;;;;;;
Software architecture evaluation methods based on cost benefit analysis and quantitative decision making;"Lee, Jihyun; Kang, Sungwon; Kim, Chang-Ki;";Empirical Software Engineering;14;4;453-475;2009;Springer;SQ1;;x;x;x;x;x;;;x;;;;
SArF map: Visualizing software architecture from feature and layer viewpoints;"Kobayashi, Kenichi; Kamimura, Manabu; Yano, Keisuke; Kato, Koki; Matsuo, Akihiko;";2013 21st International Conference on Program Comprehension (ICPC);;;43-52;2013;IEEE;SQ1;;;;x;x;x;;;;;;;
Agility and architecture: Can they coexist?;"Abrahamsson, Pekka; Babar, Muhammad Ali; Kruchten, Philippe;";IEEE Software;27;2;16-22;2010;IEEE;SQ1;;;;x;x;x;;;;;;;
